date,intercn,co2mass,gasprice,coalprice
4/21/2006,ERCOT,510881.792,7.1989832,1.6994301
4/21/2006,WECC,683565.544,6.3701048,1.4962602
4/22/2006,EAST,4503740.838,7.4736681,2.0443544
4/22/2006,ERCOT,468482.881,7.1989832,1.6994301
4/22/2006,WECC,633748.459,6.3701048,1.4962602
4/23/2006,EAST,4417799.873,7.4736681,2.0443544
4/23/2006,ERCOT,483551.884,7.1989832,1.6994301
4/23/2006,WECC,599543.881,6.3701048,1.4962602
4/24/2006,EAST,4942807.875,7.6013842,2.0443544
4/24/2006,ERCOT,534825.723,7.201118,1.6994301
4/24/2006,WECC,675533.934,6.4190159,1.4962602
4/25/2006,EAST,4964663.733,7.3127408,2.0443544
4/25/2006,ERCOT,509679.383,7.0119419,1.6994301
4/25/2006,WECC,684196.146,6.186552,1.4962602
4/26/2006,EAST,4872361.731,7.0669999,2.0443544
4/26/2006,ERCOT,463986.963,6.7101812,1.6994301
4/26/2006,WECC,687898.434,6.0913901,1.4962602
4/27/2006,EAST,4834165.382,6.734489,2.0443544
4/27/2006,ERCOT,457122.145,6.3599119,1.6994301
4/27/2006,WECC,686414.248,5.660418,1.4962602
4/28/2006,EAST,4684348.009,6.4918489,2.0443544
4/28/2006,ERCOT,499514.242,6.0877838,1.6994301
4/28/2006,WECC,676280.184,5.6182742,1.4962602
4/29/2006,EAST,4215307.163,6.4918489,2.0443544
4/29/2006,ERCOT,479060.926,6.0877838,1.6994301
4/29/2006,WECC,634028.389,5.6182742,1.4962602
4/30/2006,EAST,4142057.149,6.4918489,2.0443544
4/30/2006,ERCOT,490682.29,6.0877838,1.6994301
4/30/2006,WECC,644426.032,5.6182742,1.4962602
5/1/2006,EAST,4763848.706,6.433435,2.032479
5/1/2006,ERCOT,560287.691,6.1097178,1.6702178
5/1/2006,WECC,741387.392,5.618979,1.6999832
5/2/2006,EAST,4849480.012,6.6287751,2.032479
5/2/2006,ERCOT,566643.532,6.3374572,1.6702178
5/2/2006,WECC,759088.114,5.8645611,1.6999832
5/3/2006,EAST,4990792.447,6.5603838,2.032479
5/3/2006,ERCOT,563480.02,6.2381458,1.6702178
5/3/2006,WECC,746183.798,5.84304,1.6999832
5/4/2006,EAST,4990519.295,6.4182611,2.032479
5/4/2006,ERCOT,571609.543,6.1120772,1.6702178
5/4/2006,WECC,723411.53,5.5522718,1.6999832
5/5/2006,EAST,4902018.648,6.6328568,2.032479
5/5/2006,ERCOT,558411.697,6.1746888,1.6702178
5/5/2006,WECC,710303.347,5.3834682,1.6999832
5/6/2006,EAST,4474895.959,6.6328568,2.032479
5/6/2006,ERCOT,512378.991,6.1746888,1.6702178
5/6/2006,WECC,638019.403,5.3834682,1.6999832
5/7/2006,EAST,4295774.526,6.6328568,2.032479
5/7/2006,ERCOT,507481.542,6.1746888,1.6702178
5/7/2006,WECC,640527.418,5.3834682,1.6999832
5/8/2006,EAST,4849086.673,6.4619169,2.032479
5/8/2006,ERCOT,535422.187,6.1074972,1.6702178
5/8/2006,WECC,737612.054,5.5172949,1.6999832
5/9/2006,EAST,4895075.683,6.4722881,2.032479
5/9/2006,ERCOT,598942.806,6.1986718,1.6702178
5/9/2006,WECC,778079.749,5.6379719,1.6999832
5/10/2006,EAST,4911249.822,6.4370999,2.032479
5/10/2006,ERCOT,564683.788,6.1357579,1.6702178
5/10/2006,WECC,797117.866,5.5488472,1.6999832
5/11/2006,EAST,4827647.928,6.7609639,2.032479
5/11/2006,ERCOT,503861.028,6.4293699,1.6702178
5/11/2006,WECC,787110.23,5.7234721,1.6999832
5/12/2006,EAST,4748412.793,6.2396169,2.032479
5/12/2006,ERCOT,500583.884,5.851625,1.6702178
5/12/2006,WECC,759984.158,5.1284041,1.6999832
5/13/2006,EAST,4356373.103,6.2396169,2.032479
5/13/2006,ERCOT,533354.681,5.851625,1.6702178
5/13/2006,WECC,708992.461,5.1284041,1.6999832
5/14/2006,EAST,4174985.742,6.2396169,2.032479
5/14/2006,ERCOT,518656.296,5.851625,1.6702178
5/14/2006,WECC,718500.46,5.1284041,1.6999832
5/15/2006,EAST,4770127.801,5.8857069,2.032479
5/15/2006,ERCOT,521786.656,5.5554419,1.6702178
5/15/2006,WECC,800687.566,5.2937312,1.6999832
5/16/2006,EAST,4711173.383,5.9967461,2.032479
5/16/2006,ERCOT,516972.08,5.7040739,1.6702178
5/16/2006,WECC,803564.065,5.4468889,1.6999832
5/17/2006,EAST,4746083.797,6.1508088,2.032479
5/17/2006,ERCOT,543744.623,5.8825359,1.6702178
5/17/2006,WECC,816211.577,5.541821,1.6999832
5/18/2006,EAST,4855643.066,5.843091,2.032479
5/18/2006,ERCOT,557491.743,5.5896778,1.6702178
5/18/2006,WECC,815571.081,5.3090281,1.6999832
5/19/2006,EAST,4919709.946,5.8183718,2.032479
5/19/2006,ERCOT,603684.582,5.5374641,1.6702178
5/19/2006,WECC,790984.985,5.1976709,1.6999832
5/20/2006,EAST,4729873.651,5.8183718,2.032479
5/20/2006,ERCOT,572153.861,5.5374641,1.6702178
5/20/2006,WECC,707848.672,5.1976709,1.6999832
5/21/2006,EAST,4707120.127,5.8183718,2.032479
5/21/2006,ERCOT,560672.32,5.5374641,1.6702178
5/21/2006,WECC,699893.094,5.1976709,1.6999832
5/22/2006,EAST,5212246.893,5.9955959,2.032479
5/22/2006,ERCOT,607998.55,5.7340031,1.6702178
5/22/2006,WECC,719337.673,5.5445108,1.6999832
5/23/2006,EAST,5325501.161,6.3547978,2.032479
5/23/2006,ERCOT,612827.354,6.0763831,1.6702178
5/23/2006,WECC,739673.959,5.768115,1.6999832
5/24/2006,EAST,5463703.779,6.0515022,2.032479
5/24/2006,ERCOT,630615.921,5.7753501,1.6702178
5/24/2006,WECC,769961.048,5.1333671,1.6999832
5/25/2006,EAST,5599660.964,5.8904848,2.032479
5/25/2006,ERCOT,645263.531,5.606411,1.6702178
5/25/2006,WECC,765957.754,4.9679809,1.6999832
5/26/2006,EAST,5618016.551,5.745698,2.032479
5/26/2006,ERCOT,635896.501,5.4450712,1.6702178
5/26/2006,WECC,720413.269,4.890131,1.6999832
5/27/2006,EAST,5355292.433,5.745698,2.032479
5/27/2006,ERCOT,591592.031,5.4450712,1.6702178
5/27/2006,WECC,619378.61,4.890131,1.6999832
5/28/2006,EAST,5412705.214,5.745698,2.032479
5/28/2006,ERCOT,556518.454,5.4450712,1.6702178
5/28/2006,WECC,585777.586,4.890131,1.6999832
5/29/2006,EAST,5692535.962,5.745698,2.032479
5/29/2006,ERCOT,564332.286,5.4450712,1.6702178
5/29/2006,WECC,596482.302,4.890131,1.6999832
5/30/2006,EAST,6242312.891,6.3605518,2.032479
5/30/2006,ERCOT,583060.356,5.9067998,1.6702178
5/30/2006,WECC,720352.558,5.4492192,1.6999832
5/31/2006,EAST,6207063.975,6.064682,2.032479
5/31/2006,ERCOT,567322.203,5.6091828,1.6702178
5/31/2006,WECC,772768.182,5.3282909,1.6999832
6/1/2006,EAST,6029223.674,6.3422909,1.9801198
6/1/2006,ERCOT,565469.971,5.9624691,1.6472071
6/1/2006,WECC,821357.107,5.8054361,1.5211247
6/2/2006,EAST,5769398.301,6.278398,1.9801198
6/2/2006,ERCOT,581801.27,5.8876109,1.6472071
6/2/2006,WECC,820118.852,5.642972,1.5211247
6/3/2006,EAST,5129836.416,6.278398,1.9801198
6/3/2006,ERCOT,570165.089,5.8876109,1.6472071
6/3/2006,WECC,794198.201,5.642972,1.5211247
6/4/2006,EAST,4875900.567,6.278398,1.9801198
6/4/2006,ERCOT,584626.863,5.8876109,1.6472071
6/4/2006,WECC,784898.829,5.642972,1.5211247
6/5/2006,EAST,5434354.864,6.438765,1.9801198
6/5/2006,ERCOT,632226.893,6.2057519,1.6472071
6/5/2006,WECC,851747.339,6.1190848,1.5211247
6/6/2006,EAST,5554507.346,6.165163,1.9801198
6/6/2006,ERCOT,632868.714,5.8876662,1.6472071
6/6/2006,WECC,842626.229,5.8375478,1.5211247
6/7/2006,EAST,5664243.331,5.8924308,1.9801198
6/7/2006,ERCOT,641636.366,5.6787601,1.6472071
6/7/2006,WECC,825864.853,5.5142522,1.5211247
6/8/2006,EAST,5788444.087,5.9068189,1.9801198
6/8/2006,ERCOT,655851.729,5.6998978,1.6472071
6/8/2006,WECC,812153.9,5.4138408,1.5211247
6/9/2006,EAST,5646609.074,6.084661,1.9801198
6/9/2006,ERCOT,671277.106,5.8564458,1.6472071
6/9/2006,WECC,782301.241,5.3679509,1.5211247
6/10/2006,EAST,5167939.326,6.084661,1.9801198
6/10/2006,ERCOT,641441.203,5.8564458,1.6472071
6/10/2006,WECC,708021.642,5.3679509,1.5211247
6/11/2006,EAST,4953934.572,6.084661,1.9801198
