"date","intercn","co2mass","gasprice","coalprice","costratio","load","tlsd","tlmin","tlmax","meant","nonfossil","so2price","netNSflow","yearseason","fit","lwr","upr","fit.transformed","lwr.transformed","upr.transformed"
"8/1/2012","EAST",6340542.92,3.2812541,2.5270116,0.770135906,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4667299.28420515,4615723.03586546,4718875.53254485,-0.0713942771395234,-0.0816558859319994,-0.0611326683470474
"8/2/2012","EAST",6499919.689,3.233496,2.5270116,0.781510662,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4654684.87306024,4601486.47324864,4707883.27287185,-0.0739040399951693,-0.0844883919948909,-0.0633196879954476
"8/3/2012","EAST",6509607.044,2.97561,2.5270116,0.849241534,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4588010.01635602,4523069.97714473,4652950.05556731,-0.0871696674461385,-0.100090135661765,-0.0742491992305123
"8/4/2012","EAST",6124699.705,2.97561,2.5270116,0.849241534,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4588010.01635602,4523069.97714473,4652950.05556731,-0.0871696674461385,-0.100090135661765,-0.0742491992305123
"8/5/2012","EAST",5760348.744,2.97561,2.5270116,0.849241534,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4588010.01635602,4523069.97714473,4652950.05556731,-0.0871696674461385,-0.100090135661765,-0.0742491992305123
"8/6/2012","EAST",6076015.574,2.982115,2.5270116,0.847389051,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4589649.1199078,4524995.37918085,4654302.86063474,-0.0868435514536007,-0.0997070577315364,-0.073980045175665
"8/7/2012","EAST",6159039.823,3.068723,2.5270116,0.823473347,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4611720.52339415,4551096.57774009,4672344.46904821,-0.0824522256908939,-0.0945139640643592,-0.0703904873174287
"8/8/2012","EAST",6303335.493,3.0491829,2.5270116,0.828750417,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4606703.44069102,4545145.60576535,4668261.2756167,-0.083450424312087,-0.0956979692664738,-0.0712028793577004
"8/9/2012","EAST",6049181.772,2.9791451,2.5270116,0.84823381,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4588900.4246572,4524115.58930968,4653685.26000472,-0.0869925118377652,-0.0998821006974018,-0.0741029229781288
"8/10/2012","EAST",5503204.972,2.9085701,2.5270116,0.86881578,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4571294.46301939,4503616.66528944,4638972.26074933,-0.0904953934268375,-0.103960565993615,-0.07703022086006
"8/11/2012","EAST",4998413.778,2.9085701,2.5270116,0.86881578,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4571294.46301939,4503616.66528944,4638972.26074933,-0.0904953934268375,-0.103960565993615,-0.07703022086006
"8/12/2012","EAST",4958151.798,2.9085701,2.5270116,0.86881578,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4571294.46301939,4503616.66528944,4638972.26074933,-0.0904953934268375,-0.103960565993615,-0.07703022086006
"8/13/2012","EAST",5560630.762,2.8695381,2.5270116,0.880633577,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4561726.73785032,4492674.32774982,4630779.14795083,-0.0923989877338953,-0.106137653135884,-0.0786603223319065
"8/14/2012","EAST",5602696.131,2.873096,2.5270116,0.879543043,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4562593.39985028,4493658.56088661,4631528.23881395,-0.0922265566888864,-0.105941830141085,-0.0785112832366873
"8/15/2012","EAST",5731533.285,2.883394,2.5270116,0.876401768,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4565108.18187495,4496522.6491231,4633693.71462679,-0.0917262157341602,-0.105371991233136,-0.0780804402351842
"8/16/2012","EAST",5649833.967,2.8494921,2.5270116,0.886828779,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4556865.31130274,4487181.5005747,4626549.12203078,-0.0933662170111418,-0.107230505862677,-0.0795019281596068
"8/17/2012","EAST",5460725.175,2.7372761,2.5270116,0.923184768,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4530405.46882346,4458287.01885859,4602523.91878833,-0.0986306664616819,-0.112979351061326,-0.0842819818620379
